"income","variable","No Change (Baseline)","Non-meat marketing campaign (Scenario 1)","Increase in meat pricing (Scenario 2)","Increase in non-meat options (Scenario 3)","Combined non-meat push (Scenario 4)"
"Less than $25k","Red Meat",0.0801016465705671,0.0767495421513665,0.0776327130993838,0.0724670786052765,0.0697674376995557
"Less than $25k","Red Meat_Low",0.0798299083778748,0.0764816418791193,0.0774409405553086,0.0722777770169586,0.069487743597127
"Less than $25k","Red Meat_High",0.0803732243149986,0.0770172870401465,0.0778244059324312,0.0726563029554301,0.0700469637111648
"Less than $25k","Poultry",0.091243141025557,0.0875620764622591,0.088320167560699,0.0832801068553456,0.0803913543008078
"Less than $25k","Poultry_Low",0.0911059111402088,0.0874034159646722,0.088201954014971,0.0831129999193457,0.0802417538478222
"Less than $25k","Poultry_High",0.0913803294776982,0.0877206818012398,0.0884383504579058,0.0834471528904066,0.0805409060961031
"Less than $25k","Fish",0.0316290898244971,0.0349451703143611,0.0318727929977488,0.028882500579037,0.0319390453432134
"Less than $25k","Fish_Low",0.0315479689565045,0.0348443708343977,0.0317752208107918,0.0287928944680934,0.0318529111806355
"Less than $25k","Fish_High",0.031710197103703,0.0350459487418149,0.0319703455211471,0.028972090156917,0.0320251641807771
"Less than $25k","Vegetables",0.305590451416239,0.302394254754169,0.307683326146996,0.323892413143165,0.320199269942392
"Less than $25k","Vegetables_Low",0.305364899505154,0.302133502422012,0.307466618254782,0.323798482973117,0.320095302325679
"Less than $25k","Vegetables_High",0.30581585689893,0.302654812302987,0.307899898456953,0.323986317221432,0.320303205767553
"Less than $25k","Legumes, Beans, & Nuts",0.0422063851436581,0.0497484221919945,0.0424593413474339,0.0429931999973672,0.049707820759744
"Less than $25k","Legumes, Beans, & Nuts_Low",0.0420891425539064,0.0496419505170113,0.0423358774063748,0.0428867430579151,0.0496220923530391
"Less than $25k","Legumes, Beans, & Nuts_High",0.0423235990373312,0.0498548700129204,0.0425827734581687,0.043099633257658,0.0497935337016602
"Less than $25k","Eggs & Cheese",0.0555817824173677,0.0624231194577377,0.0557917398122336,0.0713066489532999,0.0768190214493552
"Less than $25k","Eggs & Cheese_Low",0.0553222511824061,0.0621963573599866,0.0555392221927479,0.0711057054596569,0.0765738071328488
"Less than $25k","Eggs & Cheese_High",0.0558411710895087,0.0626497719192793,0.056044122438069,0.0715075055273549,0.0770641055679135
"Less than $25k","Grains",0.393647503602114,0.386177414668112,0.396239919035505,0.377178051866508,0.371176050504932
"Less than $25k","Grains_Low",0.393483881644264,0.386050820588236,0.396079347832882,0.377098169481755,0.371075073404139
"Less than $25k","Grains_High",0.393811037302047,0.386303956552276,0.396400404875067,0.377257913765283,0.371276995186154
"$25k - $55k","Red Meat",0.0803074576507432,0.0769302948133418,0.0777580772196245,0.0729808133073931,0.070332193388114
"$25k - $55k","Red Meat_Low",0.079977641828326,0.0766320712331367,0.0775439132982313,0.0727371154162087,0.0700263290569653
"$25k - $55k","Red Meat_High",0.0806370370886984,0.0772283258189819,0.0779721417204823,0.0732243831376811,0.0706378565904933
"$25k - $55k","Poultry",0.0917317821773504,0.0880352552676411,0.0888279237771883,0.0839088870041574,0.0810478437350664
"$25k - $55k","Poultry_Low",0.0915774212937309,0.0878901387969215,0.0887304469827086,0.0837764118657507,0.0808921248421681
"$25k - $55k","Poultry_High",0.0918860906112954,0.0881803255697114,0.0889253797200788,0.0840413238394132,0.0812035098718809
"$25k - $55k","Fish",0.0317834853446048,0.0350799017796562,0.0320386914700607,0.0290971937174243,0.0321604575578273
"$25k - $55k","Fish_Low",0.0317091883775919,0.0349874191015905,0.0319289435095871,0.0290121578850485,0.0320925017681505
"$25k - $55k","Fish_High",0.031857770910878,0.0351723667331319,0.0321484145496137,0.0291822146568029,0.0322284038059618
"$25k - $55k","Vegetables",0.30576542217627,0.302493403688982,0.307910971834776,0.323332142859877,0.319643715146493
"$25k - $55k","Vegetables_Low",0.305556203673037,0.302268400133633,0.307721634840707,0.323228551589191,0.319523580206455
"$25k - $55k","Vegetables_High",0.305974514652894,0.302718262173421,0.308100205290451,0.323435702422637,0.319763807675491
"$25k - $55k","Legumes, Beans, & Nuts",0.0421004629996391,0.0496198037012076,0.0423680662025449,0.0429064279694689,0.0495698111689676
"$25k - $55k","Legumes, Beans, & Nuts_Low",0.0419932921278641,0.0495213913144233,0.0422390180933573,0.0428100543405318,0.049480415059861
"$25k - $55k","Legumes, Beans, & Nuts_High",0.0422076098959848,0.0497181957108996,0.0424970795406962,0.0430027821938117,0.0496591904642959
"$25k - $55k","Eggs & Cheese",0.0556869217350456,0.0625876654435848,0.0559474197377555,0.0713663081481527,0.0768627886774269
"$25k - $55k","Eggs & Cheese_Low",0.0554192246921668,0.0623563842453095,0.0556356240995558,0.0711325025388284,0.0765681903910681
"$25k - $55k","Eggs & Cheese_High",0.0559544670886138,0.0628188325733572,0.0562590095561772,0.0715999960844896,0.0771571990550075
"$25k - $55k","Grains",0.392624467916347,0.385253675305586,0.39514884975805,0.376408226993527,0.370383190326105
"$25k - $55k","Grains_Low",0.392464003169356,0.385127007621617,0.394981717298596,0.376331965071562,0.370284064192562
"$25k - $55k","Grains_High",0.392784847920587,0.385380290811634,0.395315889904443,0.376484470267206,0.370482285256868
"$55k - $75k","Red Meat",0.0806141315842466,0.077155543861175,0.0780741404663442,0.0732418621353728,0.0706284979886513
"$55k - $75k","Red Meat_Low",0.0802510672304605,0.0768604823436889,0.0778396889727556,0.0729977452959976,0.0703254317692382
"$55k - $75k","Red Meat_High",0.0809769094169888,0.0774504168189058,0.0783084727755986,0.0734858504371056,0.0709313666782961
"$55k - $75k","Poultry",0.0912594690793208,0.0876025991454686,0.0883229735022451,0.0834866723973141,0.0806288547001533
"$55k - $75k","Poultry_Low",0.091102369753475,0.0874395944634919,0.0882085800856928,0.0833462446961217,0.0804856651203841
"$55k - $75k","Poultry_High",0.0914165141065697,0.0877655456049301,0.0884373382187858,0.0836270570791688,0.0807719996910289
"$55k - $75k","Fish",0.0316365380135643,0.0349374202815805,0.0318863287077634,0.0289471836620376,0.0320331774270278
"$55k - $75k","Fish_Low",0.0315475792200004,0.0348510511211409,0.0317829984991606,0.0288585267422681,0.0319556193009722
"$55k - $75k","Fish_High",0.031725480465716,0.0350237739854123,0.0319896368634739,0.029035824396046,0.0321107231264197
"$55k - $75k","Vegetables",0.304895480200886,0.301815903173785,0.307089721345291,0.322892741149638,0.319196817496512
"$55k - $75k","Vegetables_Low",0.30467774530227,0.301580212962878,0.306863941057636,0.322756952839881,0.319067628163716
"$55k - $75k","Vegetables_High",0.305113078778122,0.302051434365325,0.307315354590709,0.323028475018766,0.319325957817927
"$55k - $75k","Legumes, Beans, & Nuts",0.0421083716008025,0.0496046432208029,0.0423670134391476,0.0429388809133507,0.0495995768187387
"$55k - $75k","Legumes, Beans, & Nuts_Low",0.0420047537531781,0.0495004448175248,0.0422491128495701,0.0428398072170441,0.049512161407225
"$55k - $75k","Legumes, Beans, & Nuts_High",0.0422119670360042,0.0497088187811094,0.0424848850048145,0.0430379341019482,0.0496869761527158
"$55k - $75k","Eggs & Cheese",0.0564221307416796,0.063261716498141,0.0567360457972245,0.0716831942015302,0.0772248313151079
"$55k - $75k","Eggs & Cheese_Low",0.0561676008044717,0.0630153198993851,0.0564543284175236,0.0714487301318237,0.0769591102682092
"$55k - $75k","Eggs & Cheese_High",0.056676523434134,0.0635079835423284,0.0570175950006615,0.0719175398943109,0.0774903994167685
"$55k - $75k","Grains",0.3930638787795,0.385622173819048,0.395523776741984,0.376809465540756,0.370688244253809
"$55k - $75k","Grains_Low",0.392901301608166,0.385491835010204,0.395319426075939,0.376734061000255,0.370574035052194
"$55k - $75k","Grains_High",0.39322636889988,0.385752457349203,0.395727989334842,0.376884851838141,0.370802412016474
"More than $75k","Red Meat",0.079883887392727,0.0763400439092632,0.0771855460052147,0.0718528891049517,0.0691592496574865
"More than $75k","Red Meat_Low",0.0795997417922136,0.0761365099956217,0.0770088319162807,0.0716270678135058,0.0689159257603701
"More than $75k","Red Meat_High",0.0801678576047535,0.0765434881626248,0.0773621924404318,0.0720786005636944,0.0694024464102302
"More than $75k","Poultry",0.0880690969177765,0.0844163159926808,0.0849226126583748,0.0799225267920411,0.0771142895708065
"More than $75k","Poultry_Low",0.0878734068880628,0.084227831282036,0.0847923974737987,0.0798064987914157,0.0769598687211937
"More than $75k","Poultry_High",0.0882647029977973,0.0846047231312465,0.0850527907943466,0.0800385255362121,0.0772686587611048
"More than $75k","Fish",0.0305347706429534,0.0339607524158814,0.0307853822988145,0.0277254364993006,0.030901725474113
"More than $75k","Fish_Low",0.0304579206523396,0.0338667987964728,0.0306839648226318,0.0276396352305526,0.030809794640003
"More than $75k","Fish_High",0.0306116084516247,0.034054687763639,0.0308867785550275,0.0278112226271431,0.0309936388700016
"More than $75k","Vegetables",0.301890187436119,0.298943971465353,0.304238739513257,0.322820050533583,0.319106876358615
"More than $75k","Vegetables_Low",0.3016114141979,0.298730462622307,0.303966755331403,0.322665532889146,0.318987720061482
"More than $75k","Vegetables_High",0.302168738209334,0.299157350337971,0.304510511215317,0.322974497695096,0.319225990965635
"More than $75k","Legumes, Beans, & Nuts",0.0425087948733773,0.0501136041176676,0.0427871433254278,0.0434924624372713,0.050187078397719
"More than $75k","Legumes, Beans, & Nuts_Low",0.0424026488608581,0.0500007386975386,0.0426575454649329,0.0434101577607917,0.0500831524280031
"More than $75k","Legumes, Beans, & Nuts_High",0.0426149173567437,0.0502264427228498,0.0429167061026941,0.0435747529520346,0.0502909816298118
"More than $75k","Eggs & Cheese",0.0572830619865588,0.0641721610778235,0.0576463492451428,0.0721586191602428,0.0778327780194128
"More than $75k","Eggs & Cheese_Low",0.0570733637541006,0.0639806383252043,0.0574399404143334,0.0720019720139242,0.0776603556457093
"More than $75k","Eggs & Cheese_High",0.057492666969829,0.0643636054699678,0.0578526676938547,0.072315213431046,0.0780051359398131
"More than $75k","Grains",0.399830200750488,0.39205315102133,0.402434226953769,0.382028015472609,0.375698002521847
"More than $75k","Grains_Low",0.399668322584614,0.391950235016399,0.402222263129885,0.381935690003759,0.375604758667481
"More than $75k","Grains_High",0.399991991639687,0.392156032193877,0.402646040511979,0.382120313362714,0.375791218531292
